product_id,artwork_id,Product Type,Product Name,Format,Size,Frame Color,Fulfillment,Price,Status,Notes,Orientation,Printful Product,Printful Base Cost,Shipping Cost,Total Cost,Margin %,Shipping Model,Etsy Shipping Profile,Lovable Shipping Rate,Sales Channels,Etsy Listing ID,Etsy Status,Lovable Status
AOA-PRD-0060-001,AOA-ART-0060,Original Painting,What the Garden Kept — Original Oil Painting,Original,8" × 8",Framed (Original),Artist direct,$199,ready-for-review,New Art June 2026. June 5 First Friday Show.,N/A,N/A,,,,,Fixed-seller-ships,N/A,30,Lovable,,N/A,draft
AOA-PRD-0060-002,AOA-ART-0060,Printful Print,What the Garden Kept — Framed Canvas Print Small White,Framed Canvas,12×12,White,Printful,$145,ready-for-review,,N/A,Framed Canvas (in),46.92,9.49,56.41,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
AOA-PRD-0060-003,AOA-ART-0060,Printful Print,What the Garden Kept — Framed Canvas Print Small Brown,Framed Canvas,12×12,Brown,Printful,$145,ready-for-review,,N/A,Framed Canvas (in),46.92,9.49,56.41,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
AOA-PRD-0060-004,AOA-ART-0060,Printful Print,What the Garden Kept — Framed Canvas Print Small Black,Framed Canvas,12×12,Black,Printful,$145,ready-for-review,,N/A,Framed Canvas (in),46.92,9.49,56.41,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
AOA-PRD-0060-005,AOA-ART-0060,Printful Print,What the Garden Kept — Framed Canvas Print Large White,Framed Canvas,16×16,White,Printful,$170,ready-for-review,,N/A,Framed Canvas (in),57.12,9.49,66.61,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
AOA-PRD-0060-006,AOA-ART-0060,Printful Print,What the Garden Kept — Framed Canvas Print Large Brown,Framed Canvas,16×16,Brown,Printful,$170,ready-for-review,,N/A,Framed Canvas (in),57.12,9.49,66.61,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
AOA-PRD-0060-007,AOA-ART-0060,Printful Print,What the Garden Kept — Framed Canvas Print Large Black,Framed Canvas,16×16,Black,Printful,$170,ready-for-review,,N/A,Framed Canvas (in),57.12,9.49,66.61,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
