Product Name,Product Type,Price,Workflow Status,Source Artwork,Fulfillment Method,Sales Channels,Print File,Primary Mockup File,Mockup Image Full Set,Etsy Link,Etsy Listing ID,Etsy Shipping Profile,Etsy Status,Finish,Frame Color,Lovable Shipping Rate,Lovable Status,Margin %,Notes,Orientation,Printful Base Cost,Printful Product,Printful SKU,Shipping Cost,Shipping Model,Size,Total Cost,artwork_id,product_id,Mockup Status,Next Action,POC Product
Cottage Garden Flower Landscape Canvas Print – Through the Garden Gate by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Sailboat Seascape Canvas Print – Sails in the Mist by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Coastal Boat Harbor Canvas Print – Tethered in Blue by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Monhegan Island Cottage Landscape Canvas Print – Red Roofs of Monhegan by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Red Roofs of Monhegan (https://app.notion.com/p/Red-Roofs-of-Monhegan-36f70b21b17e81798d22f41f00c0ab4f?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0014,,,,No
Whisper of the Lake – Birch Tree Lake Landscape Canvas Print by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Avocado Kitchen Wall Art Canvas Print – Avo Love Modern Food Still Life,Printful Print,$85.00,Imported - Pending Review,Avo Love (https://app.notion.com/p/Avo-Love-36f70b21b17e817dbf38f5caefca5b26?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0031,,,,No
Floral Still Life Canvas Print – Whispers Over Tea by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Coastal Sunset Canvas Print – Gilded Horizons No. 10 Marsh Landscape Wall Art,Printful Print,$85.00,Imported - Pending Review,Gilded Horizons No. 10 (https://app.notion.com/p/Gilded-Horizons-No-10-36f70b21b17e81c99831cd2e9817a126?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0030,,,,No
Beneath the Blue Veil – Coastal Mussel Shell Canvas Print by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Resting Tide – Coastal Boat Seascape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,Resting Tide (https://app.notion.com/p/Resting-Tide-36f70b21b17e8105ba32c3db1230cea8?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0013,,,,No
Coastal Buoy House Canvas Print – The Buoy House Nautical Beach Cottage Wall Art,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Sea Window – Coastal Sunset Seascape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Between Branches and Light – Coastal Harbor Landscape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Whispers of the Marsh – Coastal Marsh Landscape Canvas Print by Kaleigh Anderson,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Marsh Mirage – Coastal Marsh Sunset Canvas Print by Kaleigh Anderson,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
At the Edge of Town – Countryside Landscape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,At the Edge of Town (https://app.notion.com/p/At-the-Edge-of-Town-36f70b21b17e81bcbdecf54b942f0632?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0055,,,,No
Midnight Harbor – Moonlit Harbor Landscape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,Midnight Harbor (https://app.notion.com/p/Midnight-Harbor-36f70b21b17e81a38448d993956e25ee?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0016,,,,No
Light Keeper’s Solitude – Lighthouse Sunset Seascape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Secret Garden – Cottage Garden Landscape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Cliff Haven – Coastal Cottage Landscape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Fresh Cut Delight – Floral Still Life Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Cupola Light – Coastal Cupola Architecture Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,Cupola Light (https://app.notion.com/p/Cupola-Light-36f70b21b17e81d79189da489bb3f291?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0057,,,,No
Minimalist Houseplant Canvas Print – Quiet Corner Modern Botanical Wall Art,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Tied to the Morning – Coastal Harbor Boat Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,Tied to the Morning (https://app.notion.com/p/Tied-to-the-Morning-36f70b21b17e81e0b216ee012a2917f4?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0011,,,,No
Where Peace Hangs – Coastal Porch Landscape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Shoreline Color – Coastal Wildflower Seascape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
After the Catch – Coastal Harbor Buoy Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,After the Catch (https://app.notion.com/p/After-the-Catch-36f70b21b17e81c6a41fcb869757ee27?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0021,,,,No
Cobalt Bloom – Floral Still Life Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,Cobalt Bloom (https://app.notion.com/p/Cobalt-Bloom-36f70b21b17e81769adeebf6eb17abdb?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0003,,,,No
Quiet Garden Light – Cottage Garden Landscape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,Quiet Garden Light (https://app.notion.com/p/Quiet-Garden-Light-36f70b21b17e8152880cc70e50771b9a?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0056,,,,No
The Sweet Unknowing- Oil Painting Canvas Print- Golden Foal,Printful Print,$85.00,Imported - Pending Review,The Sweet Unknowing (https://app.notion.com/p/The-Sweet-Unknowing-36f70b21b17e81f3bd7cdbba283a2828?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0022,,,,No
Anchored- Emerald Shore- Oil Painting Canvas Print,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
"The Sea Forgot the Rules- Oil Painting Canvas Print- Lobster Lines, Maine",Printful Print,$85.00,Imported - Pending Review,The Sea Forgot the Rules (https://app.notion.com/p/The-Sea-Forgot-the-Rules-36f70b21b17e81209cf2dd2c1e8f92ed?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0024,,,,No
Study of Lupins-Lupins at Dawn-Oil Painting Canvas Print,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
"Stay Awhile, August-Plum Light-Oil Painting Canvas Print",Printful Print,$85.00,Imported - Pending Review,"Stay Awhile, August (https://app.notion.com/p/Stay-Awhile-August-36f70b21b17e81b1b1b6e9a919dfcc0b?pvs=21)",,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0025,,,,No
Morning Visitor-Lilac Watch-Oil Painting Canvas Print,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Citrus Radiance- Oil Painting Canvas Print- Citrus Light,Printful Print,$65.00,Imported - Pending Review,Citrus Radiance (https://app.notion.com/p/Citrus-Radiance-36f70b21b17e811f8c98cc4c17d0d6e2?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0019,,,,No
Harbor Line- Oil Painting Canvas Print-Cape Breeze,Printful Print,$65.00,Imported - Pending Review,Harbor Line (https://app.notion.com/p/Harbor-Line-36f70b21b17e8112bd56c19ff2010d86?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0015,,,,No
When the Day Breathes – Coastal Sunset Oil Painting Canvas Print by Kaleigh Anderson,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Blue Vase Floral Still Life Canvas Print – Coastal Cottage Wall Art,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Sunrise Oil Painting Print 20x10 Canvas | Five at Dawn,Printful Print,$110.00,Imported - Pending Review,Five at Dawn (https://app.notion.com/p/Five-at-Dawn-36f70b21b17e816bb2c4c0b119564a8c?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0052,,,,No
Light Through the Clouds,Printful Print,$95.00,Imported - Pending Review,Light Through the Clouds (https://app.notion.com/p/Light-Through-the-Clouds-36770b21b17e813dac17f93694f60035?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0002,,,,No
Light Through the Clouds — Framed Canvas Print Large Black,Printful Print,$230.00,Imported - Pending Review,Light Through the Clouds (https://app.notion.com/p/Light-Through-the-Clouds-36770b21b17e813dac17f93694f60035?pvs=21),Printful,Etsy,,,,,,#PF-FRGFREE,draft,Floating Frame (Printful),Black,0,N/A,60,"Printful Framed Canvas (in), Horizontal orientation. Base $81.60 + shipping $10.49 = $92.09 cost. Retail $230 at 60% margin.",Horizontal,81.6,Framed Canvas (in),,10.49,Printful-free,24×32,92.09,AOA-ART-0002,AOA-PRD-0002-010,,,No
Light Through the Clouds — Framed Canvas Print Large Brown,Printful Print,$230.00,Imported - Pending Review,Light Through the Clouds (https://app.notion.com/p/Light-Through-the-Clouds-36770b21b17e813dac17f93694f60035?pvs=21),Printful,Etsy,,,,,,#PF-FRGFREE,draft,Floating Frame (Printful),Brown,0,N/A,60,"Printful Framed Canvas (in), Horizontal orientation. Base $81.60 + shipping $10.49 = $92.09 cost. Retail $230 at 60% margin.",Horizontal,81.6,Framed Canvas (in),,10.49,Printful-free,24×32,92.09,AOA-ART-0002,AOA-PRD-0002-009,,,No
Light Through the Clouds — Framed Canvas Print Large White,Printful Print,$230.00,Imported - Pending Review,Light Through the Clouds (https://app.notion.com/p/Light-Through-the-Clouds-36770b21b17e813dac17f93694f60035?pvs=21),Printful,Etsy,,,,,,#PF-FRGFREE,draft,Floating Frame (Printful),White,0,N/A,60,"Printful Framed Canvas (in), Horizontal orientation. Base $81.60 + shipping $10.49 = $92.09 cost. Retail $230 at 60% margin.",Horizontal,81.6,Framed Canvas (in),,10.49,Printful-free,24×32,92.09,AOA-ART-0002,AOA-PRD-0002-008,,,No
Light Through the Clouds — Framed Canvas Print Medium Black,Printful Print,$180.00,Imported - Pending Review,Light Through the Clouds (https://app.notion.com/p/Light-Through-the-Clouds-36770b21b17e813dac17f93694f60035?pvs=21),Printful,Etsy,,,,,,#PF-FRGFREE,draft,Floating Frame (Printful),Black,0,N/A,60,"Printful Framed Canvas (in), Horizontal orientation. Base $61.20 + shipping $9.49 = $70.69 cost. Retail $180 at 60% margin.",Horizontal,61.2,Framed Canvas (in),,9.49,Printful-free,16×20,70.69,AOA-ART-0002,AOA-PRD-0002-007,,,No
Light Through the Clouds — Framed Canvas Print Medium Brown,Printful Print,$180.00,Imported - Pending Review,Light Through the Clouds (https://app.notion.com/p/Light-Through-the-Clouds-36770b21b17e813dac17f93694f60035?pvs=21),Printful,Etsy,,,,,,#PF-FRGFREE,draft,Floating Frame (Printful),Brown,0,N/A,60,"Printful Framed Canvas (in), Horizontal orientation. Base $61.20 + shipping $9.49 = $70.69 cost. Retail $180 at 60% margin.",Horizontal,61.2,Framed Canvas (in),,9.49,Printful-free,16×20,70.69,AOA-ART-0002,AOA-PRD-0002-006,,,No
Light Through the Clouds — Framed Canvas Print Medium White,Printful Print,$180.00,Imported - Pending Review,Light Through the Clouds (https://app.notion.com/p/Light-Through-the-Clouds-36770b21b17e813dac17f93694f60035?pvs=21),Printful,Etsy,,,,,,#PF-FRGFREE,draft,Floating Frame (Printful),White,0,N/A,60,"Printful Framed Canvas (in), Horizontal orientation. Base $61.20 + shipping $9.49 = $70.69 cost. Retail $180 at 60% margin.",Horizontal,61.2,Framed Canvas (in),,9.49,Printful-free,16×20,70.69,AOA-ART-0002,AOA-PRD-0002-005,,,No
Light Through the Clouds — Framed Canvas Print Small Black,Printful Print,$95.00,Imported - Pending Review,Light Through the Clouds (https://app.notion.com/p/Light-Through-the-Clouds-36770b21b17e813dac17f93694f60035?pvs=21),Printful,Etsy,,,,,,#PF-FRGFREE,draft,Floating Frame (Printful),Black,0,N/A,60,"Printful Framed Canvas (in), Horizontal orientation. Base $27.80 + shipping $9.49 = $37.29 cost. Retail $95 at 60% margin.",Horizontal,27.8,Framed Canvas (in),,9.49,Printful-free,8×10,37.29,AOA-ART-0002,AOA-PRD-0002-004,,,No
Light Through the Clouds — Framed Canvas Print Small Brown,Printful Print,$95.00,Imported - Pending Review,Light Through the Clouds (https://app.notion.com/p/Light-Through-the-Clouds-36770b21b17e813dac17f93694f60035?pvs=21),Printful,Etsy,,,,,,#PF-FRGFREE,draft,Floating Frame (Printful),Brown,0,N/A,60,"Printful Framed Canvas (in), Horizontal orientation. Base $27.80 + shipping $9.49 = $37.29 cost. Retail $95 at 60% margin.",Horizontal,27.8,Framed Canvas (in),,9.49,Printful-free,8×10,37.29,AOA-ART-0002,AOA-PRD-0002-003,,,No
Light Through the Clouds — Framed Canvas Print Small White,Printful Print,$95.00,Imported - Pending Review,Light Through the Clouds (https://app.notion.com/p/Light-Through-the-Clouds-36770b21b17e813dac17f93694f60035?pvs=21),Printful,Etsy,,,,,,#PF-FRGFREE,draft,Floating Frame (Printful),White,0,N/A,60,"Printful Framed Canvas (in), Horizontal orientation. Base $27.80 + shipping $9.49 = $37.29 cost. Retail $95 at 60% margin.",Horizontal,27.8,Framed Canvas (in),,9.49,Printful-free,8×10,37.29,AOA-ART-0002,AOA-PRD-0002-002,,,No
